symbol,笔数,期望R,总R,最好一笔R,空头占比,去掉最好一笔后总R,最好一笔占比,历史长度,日均成交额,年化波动,全程涨跌,最大回撤,距高点,偏度,rule
LSKUSDT,6,0.5737066173600701,3.4422397041604205,2.991594311632507,0.6666666666666666,0.45064539252791347,0.8690836689893366,933,2897453.614,0.9980043629765202,-0.938716744913928,-0.9741312320708813,-0.9715603326191946,3.2469280917098176,A 密集突破
ASTRUSDT,9,0.37999512896929155,3.4199561607236237,2.9923116685670847,0.5555555555555556,0.427644492156539,0.8749561479565708,1278,6607235.979049999,0.8584672642335706,-0.9431620154059857,-0.9764592050209205,-0.9764592050209205,0.13701312508739819,A 密集突破
BSVUSDT,9,0.3513696996443842,3.162327296799458,2.990311699159425,0.5555555555555556,0.1720155976400326,0.9456047456523153,1030,5391179.2285,0.9294581712448093,-0.7243636363636363,-0.9068526170798898,-0.8694903581267217,2.4274225642107785,A 密集突破
CKBUSDT,4,0.7657427391113485,3.062970956445394,2.988642847042187,0.5,0.07432810940320689,0.9757333286994451,1264,5686566.66447,1.13059448560217,-0.8447977422389463,-0.975037891676204,-0.9744842092239167,2.011384503755734,A 密集突破
IOUSDT,1,2.9946444121180993,2.9946444121180993,2.9946444121180993,1.0,0.0,1.0,795,15965563.63802,1.2438890797951758,-0.9734277484397503,-0.9830752990851513,-0.980524278676988,0.41569632123591493,A 密集突破
STRKUSDT,1,2.9934490977187607,2.9934490977187607,2.9934490977187607,0.0,0.0,1.0,907,25901800.18164,1.1113366156801938,-0.9882698096841676,-0.9913996883669669,-0.9912628738646296,0.5053542201815975,A 密集突破
NOTUSDT,1,2.993389226366335,2.993389226366335,2.993389226366335,1.0,0.0,1.0,821,18764756.7313206,1.2778937140430398,-0.9496358098265131,-0.9856854838709678,-0.9833318723702664,1.4914033677955503,A 密集突破
SAGAUSDT,1,2.992692838967648,2.992692838967648,2.992692838967648,1.0,0.0,1.0,858,15547645.81126,1.4162073126413897,-0.9979834161509618,-0.9981708990031399,-0.9979834161509618,1.202377125098799,A 密集突破
ARKMUSDT,5,0.5933408319639245,2.9667041598196224,2.9941903405257078,0.2,-0.027486180706085328,1.0092648876414279,1114,24612118.240450002,1.225011527785685,-0.8319188191881919,-0.9771536050156739,-0.9771536050156739,0.9124530859884064,A 密集突破
ENSUSDT,11,0.26869901902777377,2.9556892093055116,2.990597297035771,0.5454545454545454,-0.03490808773025922,1.0118104730430915,1322,24375467.0234,1.0053384825369789,-0.6274437815511702,-0.9153076002770606,-0.9148038536616082,1.4688237821417984,A 密集突破
AAVEUSDT,8,0.3647286944040801,2.917829555232641,2.9900032210245064,0.0,-0.07217366579186546,1.024735394725999,1322,92689158.3555,0.8938253727915497,0.6592436168170475,-0.8411704874422972,-0.7745872779907675,0.4654234620093189,A 密集突破
BCHUSDT,10,0.2878585572551387,2.878585572551387,2.985971885684922,0.5,-0.10738631313353508,1.037305235653757,1322,139766031.60847998,0.8314204126091417,1.1165770979743694,-0.7259739324548138,-0.7050478865125658,2.7355630412476604,A 密集突破
WAXPUSDT,7,0.39928803793776296,2.7950162655643407,2.9915884310212437,0.42857142857142855,-0.19657216545690304,1.0703295246896223,1032,2756773.19369,0.8165882841067194,-0.9415203761755486,-0.9663296826734064,-0.9650753533651596,0.04452829141313621,A 密集突破
TRXUSDT,8,0.34068771195092173,2.725501695607374,2.977154877692669,0.375,-0.25165318208529497,1.0923327923409032,1322,64709573.33809,0.6543015078420538,5.073972602739726,-0.5115694281034444,-0.23281888019932173,16.196597516626316,A 密集突破
BEAMXUSDT,3,0.8428677850583277,2.528603355174983,2.9919575068243858,0.6666666666666666,-0.46335415164940263,1.1832450908922163,1002,10804872.9369515,1.0650199073967002,-0.8338427680645556,-0.9695957862064101,-0.968043830977967,0.08749228845102942,A 密集突破
